pos_000;0.555303768962,0.275854357211,0.0162593516352;0.00816746303348,0.371758389652,0.00855036658444;0.529961707923,0.298114557302,0.015943716631;0.0428987442264,0.388985654242,0.00786356730415;0.03;0.7445077896118164
pos_000;0.555977693747,0.275012200433,0.016463476186;0.00675710373613,0.370800962414,0.00864983825257;0.532082316344,0.296381357042,0.0161875082306;0.0421303479998,0.388379194557,0.00800664503806;0.03;0.0007379055023193359
pos_000;0.555708337221,0.274797077548,0.0164898506976;0.00594893166943,0.369631238999,0.00873277573789;0.529227504371,0.298213580984,0.016219482932;0.0414885662575,0.388076538962,0.00771505126902;0.03;0.0007805824279785156
pos_000;0.557108560612,0.273616944712,0.0164136086114;0.00668524907285,0.370652863731,0.00826237805819;0.531560148385,0.29648134429,0.0161667755456;0.0419731772068,0.388453416402,0.00774150814433;0.03;0.00095367431640625
pos_000;0.556425993787,0.273949387074,0.0163007171924;0.00693113378377,0.370274468102,0.00887297664476;0.528465994556,0.298600758626,0.0160929918214;0.0422272733294,0.388320810833,0.00811491026379;0.03;0.0007719993591308594
pos_000;0.555631090903,0.274802799412,0.0162147376422;0.00708867455205,0.370251992591,0.00904798303127;0.528837922262,0.298544854749,0.0160704792284;0.0422740590087,0.388382264167,0.00819064260007;0.03;0.0014750957489013672
pos_000;0.555664541165,0.274582060772,0.0162478779369;0.00642718514998,0.370519921779,0.00877376549603;0.526326779971,0.300019908646,0.0160478809132;0.0418542752121,0.388552739058,0.00806250785773;0.03;0.0008492469787597656
pos_000;0.55834656145,0.272341290357,0.0164284272377;0.00613852873087,0.370135927831,0.00861364938196;0.531964118826,0.296190785955,0.0161578304876;0.0417257945202,0.388291876544,0.00785347702662;0.03;0.0007524490356445312
pos_000;0.556415242045,0.274218588653,0.0163616018082;0.00643450801229,0.370942077121,0.00876469320775;0.528146687409,0.299038124055,0.0161698648388;0.0419717239932,0.388676040124,0.00801991573563;0.03;0.0007154941558837891
pos_000;0.557044634079,0.273354088159,0.0164288128291;0.00647856778906,0.369819333336,0.00917981505527;0.529166275834,0.298049290189,0.0161998270946;0.0418858672541,0.388114309782,0.00827745746045;0.03;0.001230001449584961
pos_000;0.556526457119,0.273757997616,0.0163512506759;0.00629285731023,0.369436674498,0.00918520885762;0.529401304312,0.298076329252,0.0161657319015;0.0420643957502,0.387935061431,0.00819943669992;0.03;0.0016448497772216797
pos_000;0.556572496405,0.273979554107,0.0163378377634;0.00705625194918,0.370883775836,0.00877340609781;0.529699395199,0.297798805296,0.0163132625665;0.0426426696121,0.388793975101,0.00796924478308;0.03;0.0007479190826416016
pos_000;0.557076103619,0.27362434883,0.0165189305723;0.00642472611266,0.370295785022,0.0085539977448;0.529798960428,0.297882945313,0.0163719381951;0.0422140616401,0.388329664579,0.00781435486298;0.03;0.0007219314575195312
pos_000;0.555957450766,0.274501285727,0.0164726293746;0.00758878328578,0.371412159906,0.00863734029676;0.527579643861,0.299674422258,0.0163635409211;0.0431154451363,0.389298645256,0.00785752071536;0.03;0.0014290809631347656
pos_000;0.55422005295,0.275316807042,0.0163266687188;0.0064898837674,0.370530792123,0.00841200766735;0.525702482954,0.300732030416,0.0162882378688;0.0423862912133,0.388448148319,0.00766952953666;0.03;0.0007119178771972656
pos_000;0.555948627894,0.274642048282,0.0162365977478;0.0070654443673,0.370731936095,0.00831261726021;0.528230701844,0.299230399668,0.0162813231117;0.0428459142033,0.388628396921,0.00769320475355;0.03;0.0016715526580810547
pos_000;0.556458627559,0.273874468974,0.0161124386666;0.00784680232974,0.37169667929,0.00846148770899;0.528745016709,0.298745248445,0.0161502023488;0.0435570075616,0.389140889539,0.00788586996237;0.03;0.0007305145263671875
pos_000;0.55591059116,0.273906036214,0.0163828941402;0.00701279124607,0.370941062587,0.00807212631215;0.52823112255,0.298893538106,0.0164194676497;0.0430539636938,0.38856408215,0.00756189336355;0.03;0.0008487701416015625
pos_000;0.556589305223,0.273217546382,0.0163435162013;0.00714561585851,0.371286395001,0.0084542872588;0.528424810344,0.298548341884,0.0163630784732;0.0430755753,0.388929182453,0.00775710274984;0.03;0.0013775825500488281
pos_000;0.557585549675,0.272990628279,0.016376869278;0.00690358167772,0.370289083415,0.00902194790936;0.529194837919,0.298419417546,0.0163073467456;0.0429865817642,0.388247552926,0.00820640642492;0.03;0.0017695426940917969
pos_000;0.556688046903,0.273922608597,0.0163773909166;0.00752633105824,0.371541216959,0.00847549215124;0.528958698182,0.298838137216,0.0163382575711;0.0433535428095,0.388997340615,0.00784804226071;0.03;0.0011491775512695312
pos_000;0.55538265778,0.274724036772,0.0163103885742;0.00713601729662,0.37110376419,0.00820118866994;0.528188988466,0.299331525204,0.016367450683;0.0431935279474,0.3889254362,0.00782368508899;0.03;0.001405954360961914
pos_000;0.556408663808,0.273945546445,0.0164500139211;0.00671890490772,0.370728328787,0.00812848616198;0.529073468849,0.298685854833,0.0164871575201;0.0428423151441,0.388882877508,0.00753085591102;0.03;0.0007908344268798828
pos_000;0.557946257516,0.272762426275,0.0164245006334;0.00511716635959,0.369497234061,0.00888913140138;0.53034254995,0.297772957653,0.0164293487387;0.0419243878504,0.388114095671,0.00792355973452;0.03;0.0012192726135253906
pos_000;0.556031971028,0.273506173548,0.0164052627967;0.00557873688857,0.370191715655,0.00848491984486;0.528087734778,0.298855221479,0.0164418120085;0.0421881620801,0.388571846812,0.00765480091824;0.03;0.0016133785247802734
pos_000;0.556802612579,0.273671170697,0.0162909420272;0.00608877078928,0.370219815591,0.00826066579167;0.529187927666,0.298531601872,0.0163221392456;0.0425589728545,0.38886636704,0.00751332356255;0.03;0.0008137226104736328
pos_000;0.556866322466,0.273298182933,0.0163174919491;0.00720430725519,0.370254067636,0.00821047618616;0.528714931588,0.298884295336,0.0163342093923;0.0431654991216,0.388769770781,0.00748684612959;0.03;0.0007610321044921875
pos_000;0.55494178566,0.274761437822,0.0162846667952;0.00689832410901,0.370349635136,0.00896489194944;0.527619598046,0.29952932073,0.0163321237563;0.0431492733149,0.388561099877,0.00800210448853;0.03;0.0013396739959716797
pos_000;0.554644145284,0.274674087136,0.0161777594411;0.00674647396697,0.370540667842,0.0087835304226;0.527861286441,0.2991922187,0.0162352284426;0.0430564320955,0.388576330445,0.00803672270969;0.03;0.0007183551788330078
pos_000;0.556297356768,0.273724611735,0.0162102933602;0.00652540371359,0.369764172983,0.00918008271203;0.529709651473,0.298042719498,0.0162426043011;0.0429534370265,0.388298043434,0.00823306486113;0.03;0.0013134479522705078
pos_000;0.556875971983,0.273604113832,0.016414181939;0.00704269148516,0.370967906321,0.00849766946756;0.530339980512,0.297816926275,0.0164097802487;0.0433190885084,0.389016946433,0.00784582712916;0.03;0.0010101795196533203
