pos_000;0.5574203964086051,0.2785829789238611,0.01498043991501069;-0.0021406958770749385,0.3657899397951892,0.00990403576684129;0.5292666408406975,0.3007180113691187,0.014266389253152906;0.03334175772672118,0.385564857574626,0.008348456389204895;0.03;0.04774069786071777
pos_000;0.04821456690318096,0.3912669811076249,0.006172431221300179;0.5713317412499685,0.27024969072070626,0.02134434271286434;0.08169649119338485,0.40015123855636836,0.00803615941102348;0.5462152593848296,0.2872167179286881,0.014783609681360787;0.03;0.01743793487548828
pos_000;0.5681549546710869,0.27402645260630754,0.019941075775278427;0.009468972543420356,0.3735082684840683,0.006925760587127849;0.5395069314122543,0.29297280528398206,0.014809429376846484;0.04302002351961273,0.3885260065404845,0.004740746530132886;0.03;0.030887842178344727
pos_000;0.011116879549048858,0.375498043750521,0.007646800527559172;0.568927454392535,0.26304620599559564,0.015962304599620614;0.04336330774602795,0.38844560917219206,0.006079536784586448;0.5400322035788712,0.2925631644803968,0.014117758668110455;0.03;0.018931865692138672
pos_000;0.02513621441221625,0.3788810777477366,0.010781469243413444;0.5691187574159726,0.26385605578391635,0.014026401027133206;0.056453896851096974,0.3940819210336294,0.008963676733614714;0.543331045031203,0.28947542248537494,0.014803971044520655;0.03;0.017772436141967773
pos_000;0.024477584858728668,0.38214822800648907,0.009456312033340464;0.5702346504236415,0.27209288435100076,0.02271117172011905;0.05340469017573771,0.3953417715434877,0.008978631886248737;0.5436534423175626,0.28890464195061843,0.015714679024292133;0.03;0.020774364471435547
pos_000;0.021179583763320103,0.378894033352265,0.007302942146873825;0.5684370234777586,0.2624537184236746,0.01668690104230186;0.0551516974864861,0.3942110454491839,0.007737063814905343;0.5417191786635533,0.29028278857479994,0.015615597202721229;0.03;0.025488615036010742
pos_000;0.013951690837482794,0.37875890835240017,0.005698018528625393;0.5686314135150248,0.2632620890350074,0.01475035489717652;0.046311267566588515,0.3915240285196221,0.009123606874375597;0.5448834429517979,0.28799376273976474,0.015180831469176911;0.03;0.017929553985595703
pos_000;0.021041366595288297,0.3790672797641828,0.00608656480429659;0.5665407303527076,0.267231672098815,0.015074867686615867;0.05776731795564288,0.3947541649586178,0.00580227947166545;0.5434852899311223,0.2893217382332748,0.015037315297520074;0.03;0.017023801803588867
pos_000;0.5624972728209356,0.27212632358559,0.015796755752612246;0.00216995758351049,0.36028985869072166,0.012726715045325743;0.5377659424955683,0.29412332692523846,0.014999310435848165;0.036818104382183664,0.38980860167284903,0.010925527432115098;0.03;0.014802694320678711
pos_000;0.5633844975425266,0.2727833221981032,0.013871977519931356;0.005497449873748811,0.3778758802344289,0.012557213445645421;0.5363598919514863,0.2951712807656647,0.014723649060029634;0.03907910451224875,0.3858094457715407,0.008269774461300164;0.03;0.01633310317993164
pos_000;0.030757379682034514,0.3889572636532148,0.0112828109683909;0.5678350593738266,0.26465907565239505,0.014455991073160424;0.0679163785571508,0.4005855397660883,0.011593235174371386;0.540505755968116,0.29206493822537183,0.014230587448529008;0.03;0.0198061466217041
