gather,position,n,mean_x,mean_y,cov_00,cov_01,cov_11,shapiro_x_stat,shapiro_x_pval,shapiro_y_stat,shapiro_y_pval,normaltest_x_stat,normaltest_x_pval,normaltest_y_stat,normaltest_y_pval,skew_x,skew_y,kurt_x_excess,kurt_y_excess,hz_stat,hz_pval,hz_normal,mardia_skew,mardia_kurt,n_above_95,n_above_975,n_above_99,mu_x,mu_y,mu_rob_x,mu_rob_y,hz_pval_adj,hz_reject_fdr,shap_x_pval_adj,shap_x_reject_fdr,shap_y_pval_adj,shap_y_reject_fdr,verdict
pos_000,end1_x_end1_y,100,0.5666373761077388,0.26877074504490883,1.6182360525608694e-05,-1.5343414745453346e-05,3.203045114131963e-05,0.9166297708604622,9.3662973592334e-06,0.9633678543399803,0.007040835914441117,15.97318343344753,0.00033999089615618705,1.5687455563525616,0.4564058797559797,-0.9998800011743819,-0.2911735591109679,0.5913530746422673,-0.1927968349273157,7.22853337450799,5.2993623420345714e-14,False,2.395157418225304,7.700425403982223,5,4,1,0.5666373761077388,0.26877074504490883,0.5664538733394153,0.26716470745195514,1.8974805977461946e-13,True,2.9577781134421267e-05,True,0.0120700044247562,True,reject (HZ fdr)
pos_000,end2_x_end2_y,100,0.01818754230409121,0.3771848566797457,0.0001763089357056909,8.87400524322064e-05,5.877825418884858e-05,0.9617196102314528,0.005342929487760597,0.960383625906141,0.004282975453167888,9.55225621124481,0.008428570404578667,2.5955642325706676,0.2731369076483889,0.7158312182669049,-0.3413019187976024,0.46449906075954317,0.1855466597436899,5.215480258878583,4.156830610751293e-11,False,2.2362635382559684,10.176663397784107,9,5,2,0.01818754230409121,0.3771848566797457,0.02156304573780753,0.3790459884481246,8.313661221502586e-11,True,0.008219891519631688,True,0.0077872280966688875,True,reject (HZ fdr)
pos_000,pick_pos1_x_pick_pos1_y,100,0.5401533868111629,0.29207433028549784,2.1625718095494377e-05,-1.6927646787236015e-05,1.343185102193006e-05,0.9724613397755298,0.034212836248464835,0.9844789210689886,0.29109226301656005,4.895451015612146,0.08649008396951838,2.357605856537187,0.30764679354290475,-0.5324872551813316,0.36234747933043404,-0.03056068592641914,-0.1429490151732744,1.014729741875553,0.03685084477622488,False,0.9438208132459828,7.6638152184989154,4,4,1,0.5401533868111629,0.29207433028549784,0.540552697774058,0.291748078170852,0.038790362922341975,True,0.04887548035494977,True,0.32343584779617784,False,reject (HZ fdr)
pos_000,pick_pos2_x_pick_pos2_y,100,0.051828484119861226,0.3922344626962462,0.00017766397050800623,6.063897459278493e-05,2.5647764234026184e-05,0.977812747533165,0.08965817314916945,0.9784017058900026,0.09971436583270381,2.919130603101239,0.2323372494234551,2.2203994498752095,0.3294931465048755,0.37395528364486214,-0.1820557535936784,-0.36921511241697846,-0.5488950492474651,4.462822877805245,7.389851417206573e-10,False,22.338879592610606,41.6892837624872,3,2,1,0.051828484119861226,0.3922344626962462,0.049719928462461795,0.3917190931263884,1.1983542838713361e-09,True,0.11694544323804709,False,0.12464295729087975,False,reject (HZ fdr)
pos_001,end1_x_end1_y,100,0.03852845428405317,0.48319462697519727,2.78975565975673e-05,2.4342013073900556e-05,3.396833345007758e-05,0.9645316477685891,0.00857322378609069,0.9651954087977929,0.00959951121879234,8.023927144740869,0.01809782393777101,4.056380019173889,0.13157345244439123,-0.36247439391606506,-0.45254625937067683,1.4521229035671048,0.17835062406531943,5.972589018903568,2.899271441606038e-12,False,0.9092124526903285,9.466583341164085,6,3,2,0.03852845428405317,0.48319462697519727,0.03956087395497684,0.48552141003615024,6.958251459854492e-12,True,0.01254618115037662,True,0.015157122977040537,True,reject (HZ fdr)
pos_001,end2_x_end2_y,100,0.5324220825114065,0.5079858313528274,1.3232781050480966e-05,-7.801490565025143e-06,2.3034042360577072e-05,0.9050254536223334,2.4552164625779924e-06,0.8352045080113725,3.4960258850997594e-09,13.833063586867363,0.000991261886726467,13.286172075915744,0.0013029999255746707,-0.9697667269976404,-0.8376905586525463,0.15558725602792922,-0.6401344465940295,7.085640192414419,8.167059777823854e-14,False,2.5325564114553427,6.421130155246086,4,0,0,0.5324220825114065,0.5079858313528274,0.5319232774920808,0.5056286226411364,2.722353259274618e-13,True,8.665469867922327e-06,True,2.3306839233998397e-08,True,reject (HZ fdr)
pos_001,pick_pos1_x_pick_pos1_y,100,0.0677643368024889,0.5015099309949222,3.616911222328927e-05,2.0080768869642054e-05,1.4170104007988247e-05,0.9849573076171871,0.315348281574341,0.9897724435239292,0.6462129497813467,1.7062375362250728,0.42608400040037864,0.09401313324194784,0.9540811324806255,-0.1074042758298746,-0.011979932908701533,0.4868610191162679,-0.008598437512907342,0.8656398088199291,0.09149533547868,True,0.1559157045619912,7.858849483078902,4,2,0,0.0677643368024889,0.5015099309949222,0.06783554626350138,0.5017368728491625,0.09304610387662372,False,0.35699805461246154,False,0.6684961549462207,False,consistent
pos_001,pick_pos2_x_pick_pos2_y,100,0.5018714410280894,0.5203558682274674,1.5412355672755565e-05,-4.657434387471512e-06,1.4327899817254965e-06,0.9416899647205424,0.00024480309037365743,0.9541209754840732,0.0015659383353052805,10.528561299008393,0.005173112971569354,7.357517077142165,0.025254307630812052,-0.8179267008076437,0.6747002273215787,0.1216509022061123,-0.14079638803344574,1.341750987099416,0.004776637128354632,False,0.9314246345707332,7.503195499167751,5,3,1,0.5018714410280894,0.5203558682274674,0.5024448958071986,0.5201921640790939,0.005343220984226501,True,0.000564930208554594,True,0.003239872417872994,True,reject (HZ fdr)
pos_002,end1_x_end1_y,100,0.6379508498827854,0.32550769709814886,2.778182733240345e-05,-1.040621858538876e-05,1.8345719428527797e-05,0.8301731695325278,2.3447610825145876e-09,0.9348321528283807,9.458953675997449e-05,64.10441433762162,1.2019967509897552e-14,23.861855316987736,6.583607842933003e-06,-2.1243996155689566,-0.36022115858819337,7.445679876624521,-1.1008437046205488,6.22491873184017,1.2484144432380993e-12,False,7.9426998413508745,18.332768431932415,3,1,1,0.6379508498827854,0.32550769709814886,0.6397608539686048,0.3229003303516258,3.2567333301863456e-12,True,1.4068566495087526e-08,True,0.00025797146389083955,True,reject (HZ fdr)
pos_002,end2_x_end2_y,100,0.07976025580254383,0.4919779116591657,1.286131421170241e-05,7.696328258669191e-06,1.776045727541765e-05,0.9737909922180058,0.043410466681798,0.8440515287427224,7.1939822140906535e-09,3.2262363598397115,0.19926529927968992,14.689849205225864,0.0006458620624421048,-0.38626712601477153,-1.0232189558284048,-0.40271484352402,-0.2586162692941749,7.223749165180432,5.376195026947551e-14,False,2.4106800568473936,7.296096906207305,5,2,1,0.07976025580254383,0.4919779116591657,0.08086586075083513,0.49437023668219693,1.8974805977461946e-13,True,0.06057274420716,False,4.316389328454392e-08,True,reject (HZ fdr)
